Notes,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Ethnicity,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,California,6,50-54 years,50-54,Hispanic,Male,M,2010,2010,Suppressed,342919,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2011,2011,Suppressed,361428,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2012,2012,Suppressed,374540,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2013,2013,Suppressed,387926,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2014,2014,Suppressed,407770,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2015,2015,Suppressed,420890,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2016,2016,Suppressed,428605,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2017,2017,Suppressed,438278,Suppressed
,California,6,50-54 years,50-54,Hispanic,Male,M,2018,2018,Suppressed,445752,Suppressed
Total,California,6,50-54 years,50-54,Hispanic,Male,M,,,24,6363816,0.38
Total,California,6,50-54 years,50-54,Hispanic,,,,,24,6363816,0.38
,California,6,55-59 years,55-59,Hispanic,Male,M,1999,1999,Suppressed,121203,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2000,2000,Suppressed,126643,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2001,2001,Suppressed,137173,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2002,2002,Suppressed,149033,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2003,2003,Suppressed,161284,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2004,2004,Suppressed,173487,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2005,2005,Suppressed,187987,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2006,2006,Suppressed,201260,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2007,2007,Suppressed,211544,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2008,2008,Suppressed,223554,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2009,2009,Suppressed,237125,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2010,2010,Suppressed,249424,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2011,2011,Suppressed,269166,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2012,2012,Suppressed,284216,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2013,2013,Suppressed,299337,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2014,2014,Suppressed,317724,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2015,2015,Suppressed,335296,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2016,2016,Suppressed,344527,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2017,2017,Suppressed,356714,Suppressed
,California,6,55-59 years,55-59,Hispanic,Male,M,2018,2018,Suppressed,366539,Suppressed
Total,California,6,55-59 years,55-59,Hispanic,Male,M,,,31,4753236,0.65
Total,California,6,55-59 years,55-59,Hispanic,,,,,31,4753236,0.65
,California,6,60-64 years ,60-64,Hispanic,Male,M,1999,1999,Suppressed,91630,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2000,2000,Suppressed,93966,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2001,2001,Suppressed,99018,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2002,2002,Suppressed,104044,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2003,2003,Suppressed,109787,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2004,2004,Suppressed,115796,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2005,2005,Suppressed,122537,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2006,2006,Suppressed,130269,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2007,2007,Suppressed,140802,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2008,2008,Suppressed,151965,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2009,2009,Suppressed,163444,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2010,2010,Suppressed,174349,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2011,2011,Suppressed,189609,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2012,2012,Suppressed,198708,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2013,2013,Suppressed,210379,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2014,2014,Suppressed,225575,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2015,2015,Suppressed,241401,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2016,2016,10,253147,Unreliable
,California,6,60-64 years ,60-64,Hispanic,Male,M,2017,2017,Suppressed,267413,Suppressed
,California,6,60-64 years ,60-64,Hispanic,Male,M,2018,2018,10,278571,Unreliable
Total,California,6,60-64 years ,60-64,Hispanic,Male,M,,,94,3362410,2.8
Total,California,6,60-64 years ,60-64,Hispanic,,,,,94,3362410,2.8
,California,6,65-69 years,65-69,Hispanic,Male,M,1999,1999,Suppressed,71216,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2000,2000,Suppressed,72803,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2001,2001,Suppressed,75750,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2002,2002,Suppressed,78403,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2003,2003,Suppressed,81954,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2004,2004,Suppressed,85759,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2005,2005,Suppressed,89050,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2006,2006,Suppressed,91980,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2007,2007,Suppressed,96353,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2008,2008,10,101882,Unreliable
,California,6,65-69 years,65-69,Hispanic,Male,M,2009,2009,Suppressed,108009,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2010,2010,Suppressed,113050,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2011,2011,Suppressed,122155,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2012,2012,Suppressed,132026,Suppressed
,California,6,65-69 years,65-69,Hispanic,Male,M,2013,2013,13,142546,Unreliable
,California,6,65-69 years,65-69,Hispanic,Male,M,2014,2014,16,154592,Unreliable
,California,6,65-69 years,65-69,Hispanic,Male,M,2015,2015,17,166497,Unreliable
,California,6,65-69 years,65-69,Hispanic,Male,M,2016,2016,14,176140,Unreliable
,California,6,65-69 years,65-69,Hispanic,Male,M,2017,2017,16,183737,Unreliable
,California,6,65-69 years,65-69,Hispanic,Male,M,2018,2018,21,192036,10.94
Total,California,6,65-69 years,65-69,Hispanic,Male,M,,,182,2335938,7.79
